t/s	x/m	y/m
16,94	-38,584	14,160
16,96	-38,773	14,167
16,98	-38,964	14,174
17,00	-39,154	14,181
17,02	-39,345	14,189
17,04	-39,536	14,196
17,06	-39,728	14,203
17,08	-39,920	14,210
17,10	-40,113	14,218
17,12	-40,306	14,225
17,14	-40,500	14,232
17,16	-40,694	14,239
17,18	-40,889	14,246
17,20	-41,084	14,253
17,22	-41,279	14,260
17,24	-41,475	14,268
17,26	-41,671	14,275
17,28	-41,868	14,282
17,30	-42,065	14,289
17,32	-42,263	14,296
17,34	-42,461	14,303
17,36	-42,660	14,310
17,38	-42,859	14,317
17,40	-43,058	14,324
17,42	-43,258	14,331
17,44	-43,459	14,338
17,46	-43,659	14,345
17,48	-43,861	14,352
17,50	-44,062	14,358
17,52	-44,265	14,365
17,54	-44,467	14,372
17,56	-44,671	14,379
17,58	-44,874	14,386
17,60	-45,078	14,393
17,62	-45,283	14,400
17,64	-45,488	14,406
17,66	-45,693	14,413
17,68	-45,899	14,420
17,70	-46,105	14,427
17,72	-46,312	14,433
17,74	-46,519	14,440
17,76	-46,727	14,447
17,78	-46,935	14,454
17,80	-47,144	14,460
17,82	-47,353	14,467
17,84	-47,563	14,474
17,86	-47,773	14,480
17,88	-47,983	14,487
17,90	-48,194	14,494
17,92	-48,406	14,500
17,94	-48,618	14,507
17,96	-48,830	14,513
17,98	-49,043	14,520
18,00	-49,256	14,526
18,02	-49,470	14,533
18,04	-49,684	14,540
18,06	-49,899	14,546
18,08	-50,114	14,553
18,10	-50,329	14,559
18,12	-50,546	14,566
18,14	-50,762	14,572
18,16	-50,979	14,578
18,18	-51,197	14,585
18,20	-51,415	14,591
18,22	-51,633	14,598
18,24	-51,852	14,604
18,26	-52,071	14,610
18,28	-52,291	14,617
18,30	-52,511	14,623
18,32	-52,732	14,629
18,34	-52,953	14,636
18,36	-53,175	14,642
18,38	-53,397	14,648
18,40	-53,620	14,655
18,42	-53,843	14,661
18,44	-54,067	14,667
18,46	-54,291	14,673
18,48	-54,515	14,679
18,50	-54,740	14,686
18,52	-54,966	14,692
18,54	-55,192	14,698
18,56	-55,418	14,704
18,58	-55,645	14,710
18,60	-55,873	14,716
18,62	-56,101	14,723
18,64	-56,329	14,729
18,66	-56,558	14,735
18,68	-56,787	14,741
18,70	-57,017	14,747
18,72	-57,247	14,753
18,74	-57,478	14,759
18,76	-57,709	14,765
18,78	-57,941	14,771
18,80	-58,173	14,777
18,82	-58,406	14,783
18,84	-58,639	14,789
18,86	-58,873	14,795
18,88	-59,107	14,801
18,90	-59,342	14,807
18,92	-59,577	14,813
18,94	-59,812	14,819
18,96	-60,048	14,824
18,98	-60,285	14,830
19,00	-60,522	14,836
